YEAR,COUNT,TOTAL
1958,3,3
1959,6,9
1960,13,22
1961,222,244
1962,33,277
1963,97,374
1964,61,435
1965,453,888
1966,200,1088
1967,100,1188
1968,220,1408
1969,145,1553
1970,397,1950
1971,153,2103
1972,132,2235
1973,282,2517
1974,256,2773
1975,381,3154
1976,443,3597
1977,294,3891
1978,349,4240
1979,209,4449
1980,146,4595
1981,672,5267
1982,491,5758
1983,175,5933
1984,238,6171
1985,225,6396
1986,182,6578
1987,385,6963
1988,297,7260
1989,348,7608
1990,298,7906
1991,522,8428
1992,413,8841
1993,1225,10066
1994,352,10418
1995,324,10742
1996,119,10861
1997,428,11289
1998,166,11455
1999,3119,14574
2000,600,15174
2001,154,15328
2002,226,15554
2003,127,15681
2004,119,15800
2005,107,15907
2006,233,16140
2007,237,16377
2008,307,16684
2009,182,16866
2010,329,17195
2011,486,17681
2012,223,17904
2013,256,18160
2014,402,18562
2015,237,18799
2016,202,19001
2017,279,19280
2018,650,19930
2019,408,20338
2020,1150,21488
2021,1754,23242
2022,3055,26297
2023,716,27013
